iter	Passed	Remaining
0	139	138938
1	141	70631
2	142	47404
3	144	35889
4	145	28896
5	148	24544
6	149	21216
7	151	18766
8	153	16880
9	154	15280
10	156	14073
11	158	13034
12	159	12136
13	161	11380
14	163	10711
15	164	10108
16	165	9562
17	166	9073
18	167	8640
19	168	8236
20	168	7868
21	169	7537
22	170	7230
23	170	6947
24	171	6688
25	172	6448
26	172	6226
27	173	6018
28	173	5825
29	174	5644
30	175	5474
31	175	5313
32	176	5162
33	176	5020
34	177	4886
35	177	4759
36	178	4642
37	178	4529
38	179	4421
39	179	4317
40	180	4219
41	180	4125
42	181	4034
43	181	3947
44	182	3864
45	182	3785
46	182	3709
47	183	3637
48	183	3569
49	184	3502
50	184	3438
51	185	3376
52	185	3316
53	186	3258
54	186	3203
55	186	3150
56	187	3099
57	187	3050
58	188	3001
59	188	2954
60	189	2909
61	189	2866
62	189	2824
63	190	2784
64	190	2745
65	191	2706
66	191	2669
67	191	2630
68	192	2596
69	192	2562
70	193	2528
71	193	2496
72	194	2464
73	194	2433
74	194	2403
75	195	2374
76	195	2346
77	196	2318
78	196	2291
79	196	2264
80	197	2238
81	197	2213
82	198	2189
83	198	2165
84	198	2140
85	199	2118
86	199	2094
87	199	2072
88	200	2051
89	200	2030
90	201	2010
91	201	1991
92	202	1971
93	202	1952
94	202	1933
95	203	1915
96	203	1897
97	204	1880
98	204	1862
99	205	1845
100	205	1828
101	205	1810
102	206	1794
103	206	1778
104	206	1763
105	207	1749
106	207	1734
107	208	1720
108	208	1706
109	209	1692
110	209	1678
111	209	1664
112	210	1650
113	210	1637
114	211	1625
115	211	1611
116	211	1598
117	212	1586
118	212	1573
119	213	1562
120	213	1550
121	213	1539
122	214	1526
123	214	1515
124	215	1505
125	215	1494
126	215	1483
127	216	1472
128	216	1461
129	216	1451
130	217	1441
131	217	1431
132	218	1422
133	218	1412
134	219	1403
135	219	1394
136	219	1385
137	220	1375
138	220	1366
139	221	1358
140	221	1349
141	221	1341
142	222	1332
143	222	1324
144	223	1316
145	223	1308
146	224	1300
147	224	1293
148	225	1285
149	225	1277
150	225	1269
151	226	1262
152	226	1254
153	227	1247
154	227	1240
155	227	1232
156	228	1225
157	228	1218
158	229	1211
159	229	1205
160	229	1198
161	230	1191
162	230	1185
163	231	1178
164	231	1172
165	232	1165
166	232	1159
167	232	1152
168	233	1146
169	233	1140
170	234	1134
171	234	1128
172	234	1123
173	235	1117
174	235	1111
175	236	1106
176	236	1100
177	237	1094
178	237	1089
179	237	1083
180	238	1077
181	238	1072
182	238	1066
183	239	1061
184	239	1056
185	240	1051
186	240	1046
187	241	1040
188	241	1035
189	241	1030
190	242	1025
191	242	1021
192	243	1016
193	243	1011
194	243	1006
195	244	1002
196	244	997
197	245	992
198	245	988
199	245	983
200	246	979
201	246	974
202	247	970
203	247	966
204	247	961
205	248	957
206	248	953
207	249	949
208	249	945
209	250	941
210	250	937
211	251	933
212	251	929
213	251	925
214	252	921
215	252	917
216	253	913
217	253	910
218	254	906
219	254	902
220	255	899
221	255	895
222	256	892
223	256	888
224	256	884
225	257	881
226	257	877
227	258	873
228	258	870
229	258	866
230	259	863
231	259	859
232	260	856
233	260	853
234	261	849
235	261	846
236	261	842
237	262	839
238	262	836
