iter	Passed	Remaining
0	138	138758
1	140	69927
2	140	46804
3	141	35217
4	142	28271
5	142	23653
6	143	20344
7	144	17856
8	144	15932
9	145	14392
10	146	13130
11	146	12075
12	147	11211
13	148	10476
14	149	9849
15	151	9323
16	152	8832
17	153	8387
18	154	7975
19	155	7602
20	155	7269
21	156	6962
22	157	6680
23	157	6420
24	158	6188
25	159	5971
26	160	5771
27	160	5580
28	161	5405
29	162	5239
30	162	5082
31	163	4935
32	163	4795
33	164	4665
34	164	4541
35	165	4427
36	165	4319
37	166	4214
38	166	4114
39	167	4018
40	167	3926
41	168	3839
42	168	3754
43	169	3674
44	169	3597
45	169	3523
46	170	3453
47	170	3385
48	171	3321
49	171	3258
50	171	3199
51	172	3144
52	172	3091
53	173	3038
54	173	2986
55	174	2937
56	174	2891
57	175	2845
58	175	2801
59	176	2759
60	176	2718
61	177	2678
62	177	2639
63	177	2601
64	178	2566
65	178	2532
66	179	2499
67	179	2466
68	180	2434
69	180	2404
70	181	2374
71	181	2345
72	182	2316
73	182	2288
74	183	2261
75	183	2234
76	184	2208
77	184	2183
78	185	2158
79	185	2133
80	186	2111
81	186	2089
82	186	2065
83	187	2042
84	187	2021
85	188	2001
86	188	1981
87	189	1961
88	189	1943
89	190	1925
90	190	1906
91	191	1888
92	191	1870
93	192	1852
94	192	1835
95	193	1819
96	193	1803
97	194	1787
98	194	1771
99	195	1756
100	195	1741
101	196	1727
102	196	1712
103	197	1697
104	197	1683
105	197	1669
106	198	1655
107	198	1641
108	199	1628
109	199	1614
110	200	1602
111	200	1589
112	200	1576
113	201	1564
114	201	1552
115	202	1540
116	202	1528
117	202	1516
118	203	1505
119	203	1493
120	204	1483
121	204	1472
122	205	1462
123	205	1451
124	205	1441
125	206	1431
126	206	1421
127	207	1411
128	207	1402
129	208	1392
130	208	1383
131	209	1374
132	209	1366
133	210	1357
134	210	1349
135	211	1340
136	211	1332
137	211	1323
138	212	1315
139	212	1307
140	213	1299
141	213	1291
142	214	1283
143	214	1275
144	215	1267
145	215	1260
146	215	1252
147	216	1245
148	216	1237
149	217	1230
150	217	1223
151	218	1216
152	218	1209
153	218	1202
154	219	1195
155	219	1188
156	220	1181
157	220	1175
158	220	1168
159	221	1162
160	221	1155
161	222	1148
162	222	1142
163	222	1136
164	223	1130
165	224	1125
166	224	1120
167	225	1114
168	225	1109
169	226	1104
170	226	1099
171	227	1094
172	227	1089
173	228	1083
174	228	1078
175	229	1073
176	229	1068
177	230	1063
178	230	1057
179	231	1052
180	231	1048
181	232	1043
182	232	1038
183	233	1033
184	233	1028
185	234	1024
186	234	1019
187	234	1014
188	235	1010
189	235	1005
190	236	1000
191	236	995
192	237	991
193	237	986
194	237	982
195	238	978
196	239	974
197	239	970
198	240	966
199	240	962
200	241	958
201	241	954
202	242	950
203	242	946
204	243	942
205	243	938
206	243	934
207	244	930
208	245	928
209	245	924
210	246	920
211	246	916
212	247	913
213	247	909
214	248	906
215	248	902
216	249	898
217	249	894
218	249	891
219	250	887
220	250	883
221	251	880
222	251	876
223	252	873
224	252	869
225	252	865
226	253	862
227	253	859
228	254	856
229	254	853
230	255	849
231	255	846
232	256	843
233	256	840
234	257	837
235	257	834
236	258	830
237	258	827
238	258	824
239	259	821
240	259	818
241	260	815
242	260	812
243	261	809
244	261	806
245	262	803
246	262	800
247	263	797
248	263	794
249	263	791
250	264	788
251	264	785
252	265	782
253	265	779
